Date,Location,Rainfall,RainToday,RainTomorrow
2008-12-01,Albury,0.6,No,No
2008-12-02,Albury,0.0,No,No
2008-12-03,Albury,0.0,No,No
2008-12-04,Albury,0.0,No,No
2008-12-05,Albury,1.0,No,No
2008-12-06,Albury,0.2,No,No
2008-12-07,Albury,0.0,No,No
2008-12-08,Albury,0.0,No,No
2008-12-09,Albury,0.0,No,Yes
2008-12-10,Albury,1.4,Yes,No
2008-12-11,Albury,0.0,No,Yes
2008-12-12,Albury,2.2,Yes,Yes
2008-12-13,Albury,15.6,Yes,Yes
2008-12-14,Albury,3.6,Yes,No
2008-12-15,Albury,0.0,No,
2008-12-16,Albury,,,No
2008-12-17,Albury,0.0,No,Yes
2008-12-18,Albury,16.8,Yes,Yes
2008-12-19,Albury,10.6,Yes,No
2008-12-20,Albury,0.0,No,No
2008-12-21,Albury,0.0,No,No
2008-12-22,Albury,0.0,No,No
2008-12-23,Albury,0.0,No,No
2008-12-24,Albury,0.0,No,No
2008-12-25,Albury,0.0,No,No
2008-12-26,Albury,0.0,No,No
2008-12-27,Albury,0.0,No,No
2008-12-28,Albury,0.0,No,No
2008-12-29,Albury,0.0,No,Yes
2008-12-30,Albury,1.2,Yes,No
2008-12-31,Albury,0.8,No,No
2009-01-01,Albury,0.0,No,No
2009-01-02,Albury,0.0,No,No
2009-01-03,Albury,0.0,No,No
2009-01-04,Albury,0.0,No,No
2009-01-05,Albury,0.0,No,No
2009-01-06,Albury,0.0,No,No
2009-01-07,Albury,0.0,No,No
2009-01-08,Albury,0.0,No,No
2009-01-09,Albury,0.0,No,No
2009-01-10,Albury,0.0,No,No
2009-01-11,Albury,0.0,No,No
2009-01-12,Albury,0.0,No,No
2009-01-13,Albury,0.0,No,No
2009-01-14,Albury,0.0,No,No
2009-01-15,Albury,0.0,No,No
2009-01-16,Albury,0.0,No,No
2009-01-17,Albury,0.0,No,No
2009-01-18,Albury,0.0,No,No
2009-01-19,Albury,0.0,No,No
2009-01-20,Albury,0.0,No,No
2009-01-21,Albury,0.8,No,No
2009-01-22,Albury,0.6,No,Yes
2009-01-23,Albury,6.4,Yes,No
2009-01-24,Albury,0.0,No,No
2009-01-25,Albury,0.0,No,No
2009-01-26,Albury,0.0,No,No
2009-01-27,Albury,0.0,No,No
2009-01-28,Albury,0.0,No,No
2009-01-29,Albury,0.0,No,No
